"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"2943","BROMODICHLOROMETHANE","5.1","UG/L","","80","UG/L",".81",".23","1"
"2942","BROMOFORM","0","UG/L","Non-detect","80","UG/L",".74",".21","2"
"2941","CHLOROFORM","5.4","UG/L","","80","UG/L",".9",".25","3"
"2454","DIBROMOACETIC ACID","0.58","UG/L","Between LOD and LOQ","","UG/L","0.71","0.21","4"
"2944","DIBROMOCHLOROMETHANE","3","UG/L","","80","UG/L",".61",".17","5"
"2451","DICHLOROACETIC ACID","4.2","UG/L","","","UG/L","0.49","0.15","6"
"2456","HAA5","7.38","UG/L","","60","UG/L","","","7"
"2453","MONOBROMOACETIC ACID","0.4","UG/L","Between LOD and LOQ","","UG/L","0.43","0.13","8"
"2450","MONOCHLOROACETIC ACID","0","UG/L","Non-detect","","UG/L","3.1","0.93","9"
"2452","TRICHLOROACETIC ACID","2.2","UG/L","","","UG/L","0.72","0.22","10"
"2950","TTHM","13.5","UG/L","","80","UG/L","","","11"
