"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"2943","BROMODICHLOROMETHANE","5.2","UG/L","","80","UG/L","1.4",".42","1"
"2942","BROMOFORM","0","UG/L","Non-detect","80","UG/L","1.3",".39","2"
"2941","CHLOROFORM","5.9","UG/L","","80","UG/L","1.7",".52","3"
"2454","DIBROMOACETIC ACID","0.6","UG/L","Between LOD and LOQ","","UG/L","0.71","0.21","4"
"2944","DIBROMOCHLOROMETHANE","2.8","UG/L","","80","UG/L","1.4",".41","5"
"2451","DICHLOROACETIC ACID","3.5","UG/L","","","UG/L","0.49","0.15","6"
"2456","HAA5","6.61","UG/L","","60","UG/L","","","7"
"2453","MONOBROMOACETIC ACID","0.71","UG/L","","","UG/L","0.43","0.13","8"
"2450","MONOCHLOROACETIC ACID","0","UG/L","Non-detect","","UG/L","3.1","0.93","9"
"2452","TRICHLOROACETIC ACID","1.8","UG/L","","","UG/L","0.72","0.22","10"
"2950","TTHM","13.9","UG/L","","80","UG/L","","","11"
